ID,texto,likesCount,locationname,TimeStamp,Comments,número de menciones #menysviolencia,Robo de identidad,Interacciones reiteradas sin consentimiento,Difusión malintencionada,Ataques coordinados,Vigilancia y control,Captación,Hacer de menos,Promoción del machismo,Desamparo,número menciones #mesigualtat,Conoce instagram,Evita normalizar la violencia,Cuentalo (y Denuncia),Cuida y apoya a tus amigas,Comparte contenido feminista
1,Sabías que 1 de cada 10 mujeres ha sufrido violencia de género en redes sociales? Sabies que 1 de cada 10 dones ha patit violència de gènere en xarxes socials? A partir del 5 de diciembre recogeremos datos sobre este tipo de violencia. AYÚDANOS a hacer visible lo invisible! ,10,"Barcelona,España",10/12/2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,Enllaçada de l'assemblea de la #Vagafeminista #TerresdeleEbre. #JuntesSomMesFortes #ensvolemvives #NiUnaMes #25N #mesigualtat #menysviolencia @equalproyecto www.atzavaratortosa.org,68,"Tortosa, España",23/11/2019,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,"Avui a l'Esplaia't d'Atzavara-arrels hem convidat a tothom a passar pel Casal Cívic de Ferreries i acompanyar-nos en aquesta jornada reivindicativa pel dret a ser lliures! ✊🏽 Gràcies a les famílies, al veïnatge, a la gent del Casal i molt especialment a les joves de l'entitat que s'han currat aquest espai on la seva veu es fa sentir! 💜 #25N #JuntesSomMésFortes #ensvolemvives #NiUnaMes #mesigualtat #menysviolencia @equalproyecto #somAtzavara#diverses #Tortosa #TerresdelEbre www.atzavaratortosa.org",61,"Tortosa, España",25/11/2019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,"#Repost  El Violador eres TÚ. Que se escuche y se haga viral en todos los idiomas, en todas las lenguas y todas las culturas !! ✊🏾🧡🙏✨🔥  @equalproyecto #mesigualtat",4,"Barcelona, España",12/12/2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,"Excelente e improvisado cascanueces para las Fiestas que se avecinan. Escultura: Lysa III, 2014, por Jennifer Rubell. Vídeo, Miranda Makaroff ",258.399,"Barcelona, España",10/12/2019,594,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Campaña de @equalproyecto para visibilizar la violencia machista en Instagram. Solo tienes que etiquetar las fotos que consideres que representen esta condición con #mesigualtat y #menysviolencia PARTICIPA. #stopsida #campaña #visibleloinvisible #desigualdad #violencia #agresion #humillacion #insulto,55,"Barcelona, España",11/12/2019,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,"Detrás de todo proyecto están las personas, aquí os comparto -en crudo como la vida misma- dos videos donde parte del equipo @equalproyecto os invita a conocer la campaña. ‼️Tenéis hasta mañana 19 de diciembre a las 00:00h para participar‼️  Ojalá os animéis! 🙏💪 #menysviolencia #equal #mesigualtat #violencia #violenciamachista #social #datos #dades #noesno #stop #juntassomosmasfuertes #stopviolenceagainstwomen #violenciadegenero #feminismo",72,"Barcelona, España",18/12/2019,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,,,,,,
