Número de Etiquetas,texto,likesCount,locationname,TimeStamp,Comments,SavedItems,Reproducciones
1,"Presentem la nostra iniciativa TECH PER COMBATRE LA VIOLÈNCIA DE GÈNERE, amb el suport del Departament de Treball de la Generalitat.
👩🏻‍💻Un espai web on podreu trobar projectes innovadors basats en la tecnologia per combatre la violència de gènere.",0,Barcelona,16/12/2019,1,,189
2," Farta de no estar valorada igual que un home? Dedica 5 minuts del teu temps a Instagram per ""fer visible, l'invisible"".
🔅Utilitza el hashtag #mesigualtat
🔆 Estem vivint un moment important per visibilitzar la violència masclista. De 5 al 19 de desembre recollirem dades sobre violència de gènere en instagram. PARTICIPA!
@equalproyecto",41,Barcelona,05/12/2019,1,,
3,"Harta de no estar valorada igual que un hombre?❓Dedica 5 minutos de tu tiempo en Instagram para ""hacer visible lo invisible"".
🔅Utiliza el hashtag #mesigualtat
🔆Del 5 al 19 de diciembre recogeremos datos sobre violencia de género en Instagram. PARTICIPA!
@equalproyecto",14,Barcelona,05/12/2019,0,,
4,"Haremos visible lo invisible✊🏻 TU puedes ayudarnos a visibilizar violencias invisibles en Instagram. Es muy fácil:
🔅Comenta #menysviolencia en publicaciones sexistas o machistas
🔅Comenta #mesigualtat en publicaciones igualitarias
PARTICIPA 👉🏻 @equalproyecto",9,Barcelona,07/12/2019,0,,
5,"‼️QUEDAN 7 días ‼️ ✅ La campaña EQUAL busca hacer visible la violencia machista/ sexismo en Instagram, pero también promueve la igualdad en esta red social.
Nos ayudas a detectar imágenes? 📌 Si encuentras alguna de estas prácticas en tu timeline envíala por DM a @equalproyecto. 📌 Perfil privado? menciona @equalproyecto
Con tu ayuda obtendremos datos sobre violencia en Instagram. 👉🏻 PARTICIPA y COMPARTE! 🙏
@equalproyecto",10,Barcelona,12/12/2019,0,,
6,"(2/3)Sabies que....la #violenciamasclista s'ha disparat entre adolescents fins a un 45% en dos anys?👫👁 1 de cada 10 dones han patit assetjament o violència a través de les Xarxes Socials. Posa-hi, fre, fes visible l'invisible amb #EQUAL! Més info a la BIO 👆",6,Barcelona,05/12/2019,0,,
7,"Campaña de @equalproyecto para visibilizar la violencia machista en Instagram.
Solo tienes que etiquetar las fotos que consideres que representen esta condición con #mesigualtat y #menysviolencia
PARTICIPA
",55,Barcelona,11/12/2019,3,,
8,"Sabies que 1 de cada 10 dones ha sigut víctima de violència masclista a través de les xarxes socials?
El projecte equal pretén conscienciar sobre l'ús, masclista en moltes ocasions, que es dóna a les xarxes socials i assenyalar aquelles actituds que són clarament violència masclista amb el hashtag #menysviolència I promoure la igualtat amb d'altres com #mésigualtat. Anima't a participar-hi!",42,Barcelona,09/12/2019,0,,
9,"Hoy 10 de Diciembre, conmemoramos el 71 aniversario de la aprobación de la Declaración Universal de los Derechos Humanos.
Esta declaración sirve como base para exigir el respeto y la libertad hacia las personas LGTBI🌈",75,Barcelona,10/12/2019,1,,
10,"(3/3) Utilitza els hashtags #menysviolencia per visibilitzar publicacions sexistes o #mesigualtat per les que donen 💜 Fes visible l’invisible, més info a la BIO 👆",10,Barcelona,05/12/2019,0,,
11,"(1/3) En marxa @equalproyecto , web app per detectar i visibilitzar pràctiques sexistes a Instagram 💪📲 i també donar valor als gestos que promouen la igualtat i l’empoderament femení 💜 ▫",7,Barcelona,05/12/2019,0,,
12,"hir vam celebrar el 1er sopar de Nadal de la comunitat de La InnoBadora http://w28.bcn.cat/innoba/es/la-innobadora-comunidad-de-incubacion Al llarg d'aquest any ens hem trobat i compartit al menjador, al coworking, reptes i il·lusions al voltant dels projectes que impulsem. Ahir vam poder parar i gaudir de la conversa per acabar la jornada amb un gran somriure. Sí cliqueu sobre la foto podreu conèix a les nostres companyes! #ESS",30,Barcelona,13/12/2012,2,,
