ID,texto,likesCount,locationname,TimeStamp,Comments,SavedItems,Reproducciones
1,#mesigualtat #menysviolencia @equalproyecto,1,Barcelona,11/12/2012,,,
2,Si encuentras publicidad sexista menciona @equalproyecto en el post o envialo por DM,1,Barcelona,11/12/2019,,,
3,Ajudans cerquem imatges + #mesigualtat - #menysviolencia @equalproyecto,1,Barcelona,12/12/2019,,,
4,Ultim día!,1,Barcelona,22/12/2019,,,
5,"Super Equal y yo os invitamos a participar, aún estais a tiempo! Instrucciones tap here",1,Barcelona,14/12/2019,,,
6,Vergonzoso!! Me sumo denuncia. Mujer viene a enseñar + pasar frio?? ,1,Barcelona,22/12/2019,,,
7,Coneixes @equalproyecto Campanya contre la violencia masclista ,1,Barcelona,13/12/2019,,,
8,Esteu a temps! Busca +envia imatges #menysviolencia o #mesigualtat (totes instruccions al perfil),1,Barcelona,21/12/2019,,,
9,Alargamos hasta mañana participa! @equalproyecto,1,Barcelona,22/12/2019,,,
10,Aún estas a tiempo!. Participa y ayúdanos a crear el banco de datos contra la violencia machista en Instagram!,1,Barcelona,20/12/2019,,,
11,Ens ajudeu a promoure la igualtat?,1,Barcelona,19/12/2019,,,
12,@equalproyecto nos ayudas?,1,Barcelona,19/12/2109,,,
13,@equalproyecto Last call!,1,Barcelona,19/12/2019,,,
14,@equalproyecto,1,Barcelona,19/12/2019,,,
15,PARTICIPA!,1,Barcelona,19/12/2019,,,
16,Ahora o nunca! Nos ayudas?,1,Barcelona,19/12/2019,,,
17,No mes falta un dia! #mesigualtat #menysviolencia Envia publicacions com aquesta que hem rebut @equalproyecto,1,Barcelona,18/12/2019,,,
18,"Otra publicación machista que nos llega, Last day!  Envía publicaciones a @equalproyecto #mesigualtat #menysviolencia",1,Barcelona,18/12/2019,,,
19,Demana #mesigualtat a Instagram i posa focus a la  #violenciamasclista Ultims dias per recollir dades! Participa @equalproyecto,1,Barcelona,18/12/2019,,,
20,@equalproyecto,1,Barcelona,17/12/2019,,,
21,Instruccions @equalproyecto,1,Barcelona,17/12/2019,,,
22,Ultims dies! Rebem + publicacions #menysviolencia #mesigualtat Donem-li canya Envia´ns publicacions @equalproyecto,1,Barcelona,17/12/219,,,
23,@equalproyecto,1,Barcelona,17/12/2012,,,
24,@equalproyecto,1,Barcelona,15/12/2019,,,
25,Instrucciones aqui:,1,Barcelona,12/12/2019,,,
26,Ultimos dias de la campaña de busqueda de violecia machista en Insta. Envanos publicaciones que encuentres @equalproyecto,1,Barcelona,17/12/2019,,,
27,Recta final de la campanya #mesigualtat #menysviolencia Envia´ns publicacions,1,Barcelona,17/12/2019,,,
28,Aquestes son les instruccions ,1,Barcelona,17/12/2019,,,
29,Has patit algun tipus d´agresio o n´sigut testimoni a Instagram? Colabora amb Equal i fes visible l´invisible #violenciamasclista,1,Barcelona,18/12/2019,,,
30,"Si encuestras alguna publicación de este tipo, enviala a @equalproyecto",1,Barcelona,12/12/2019,,,
31,A continuación tipos de violencia machista en redes sociales ,1,Barcelona,12/12/2019,,,
32,@equalproyecto,1,Barcelona,16/12/2019,,,
33,@equalproyecto  ,2,Barcelona,13/12/2019,,,
34,@equalproyecto  ,2,Barcelona,13/12/2019,,,
35,@equalproyecto,1,Barcelona,9/12/2019,,,
36,@equalproyecto,1,Barcelona,16/12/2019,,,
37,#menysviolencia,1,Barcelona,9/12/2019,,,
38,Tu ayuda es necesaria @equalproyecto,1,Barcelona,16/12/2019,,,
39,Ultimo empujon quedan 5 días. Envíanos contenido #menysviolencia #mesigualtat @equalproyecto,1,Barcelona,16/12/2019,,,
40,Que es la sextorsión?,1,Barcelona,16/12/2019,,,
41,Mes publicacions... #menysviolencia #mesigualtat Envia´ns una!! Nomes queden 5 dies @equalproyecto,1,Barcelona,16/12/2019,,,
42,Instruccions per a ajudar-nos amb @equalproyecto. How tu help,1,Barcelona,16/12/2019,,,
43,Nova aportació @equalproyecto,1,Barcelona,17/12/2019,,,
44,Gracies per les vostres contribucions. Participa! @equalproyecto,1,Barcelona,17/12/2019,,,
45,Seguim amb la campanya y rebem més examples de publicacions. #mesigualtat @equalproyecto ,1,Barcelona,17/12/2019,,,
46,Sigue las instrucciones @equalproyecto,1,Barcelona,13/12/2019,,,
47,Envía a @equalproyecto via DM les publicacions sexistes que trobis!!!,1,Barcelona,12/12/2019,,,
48,We need your help! @equalproyecto Comenta #menysviolencia a publicacions sexistes @equalproyecto,1,Barcelona,9/12/2019,,,
49,@equalproyecto #mesigultat,1,Barcelona,5/12/2019,,,
50,Participar es muy facil!!! Help @equalproyecto,1,Barcelona,12/12/2019,,,
51,#igualdaddegenero We are all equal,1,Barcelona,12/12/2019,,,
52,Suma´t repte @equalproyecto cada dia una imatge #menysviolencia o #mesigualtat,1,Barcelona,13/12/2019,,,
53,@equalproyecte #mesigualtat SEGUIMOS!!!,1,Barcelona,9/12/2019,,,
54,Suma´t repte @equalproyecto cada dia una imatge #menysviolencia & #mesigualtat,1,Barcelona,17/12/2019,,,
55,Últim dia! @equalproyecto,1,Barcelona,22/12/2019,,,
56,Estamos a 45 mins de cerrar la campaña @equalproyecto #violenciadigital,1,Barcelona,22/12/2019,,,
57,Envía la teva @equalproyecto Més publicacions que demanen #mesigualtat i #menysviolencia ,1,Barcelona,19/12/2019,,,
58,Posa focus a la violencia masclista a IG Més info a @equalproyecte,1,Barcelona,18/12/2019,,,
59,Des de el humor contre la #violenciamasclista @equalproyecto,1,Barcelona,18/12/2019,,,
60,@equalproyecto,1,Barcelona,18/12/2019,,,
61,Cartel de lujo por @janbarcelo Para un proyecto que busca promover la igualdad y visibilizar la violencia machista que ocurre en Instagram. Quedan 2 días,1,Barcelona,17/12/2019,,,
62,Tápuntes? #Equal acció x fer visible #menysviolencia & #mesigualtat @equalproyecto,1,Barcelona,11/12/2019,,,
63,@equalproyecto,1,Barcelona,14/12/2019,,,
64,"Hola @Kenzo des de quan les dones que fan escalada va vestides aixi, amb una bossa de má? Les bossas de mode pels home també les anuncieu aixi? @equalproyecte ",6,Barcelona,15/12/2019,,,
65,@equalproyecto,1,Barcelona,16/12/2019,,,
66,Seguim rebent publicacions #menysviolencia #mesigualtat Ens envíes una? @equalproyecto,1,Barcelona,14/12/2019,,,
67,És dissabte pero seguim rebent publicacions #menysviolencia #mesigualtat Ens ajudes enviant-nos una? @equalproyecto,1,Barcelona,14/12/2019,,,
68,Empezamos el sábado recibiendo más publicaciones #menysviolencia #mesigualtat Mandanos por privado la que encuentres @equalproyecto,1,Barcelona,14/12/2019,,,
69,@equalproyecto,1,Barcelona,14/12/2019,,,
70,Envía publicaciones machistas o sexistas que encuentres en Instagram a @equalproyecto Te apuntas? ,1,Barcelona,13/12/2019,,,
