ID,texto,likesCount,locationname,TimeStamp,ID,SavedItems,Número de Posts #menysviolencia,Número de Posts #mesigualtat
1,"‼️QUEDAN 7 días ‼️ ✅ La campaña EQUAL busca hacer visible la violencia machista/ sexismo en Instagram, pero también promueve la igualdad en esta red social. Nos ayudas a detectar imágenes? 📌 Si encuentras alguna de estas prácticas en tu timeline envíala por DM a @equalproyecto. 📌 Perfil privado? menciona @equalproyecto Con tu ayuda obtendremos datos sobre violencia en Instagram. 👉🏻 PARTICIPA y COMPARTE! 🙏 @equalproyecto",10,Barcelona,12/12/2019,0,0,1,0
2,La presión sobre el cuerpo de mujers también es violéncia machista,2,Barcelona,7/12/2019,0,0,1,0
3,Tienes un acosador,1,Barcelona,10/12/2019,0,0,1,0
4,Creó 2.500 personalidades en su mente para soportar las violaciones de su padre,3,Barcelona,10/12/2019,0,0,1,0
5,Video @generandoigualdad,4,Barcelona,7/12/2019,0,0,0,1
6,Te respeta,8,Barcelona,6/12/2019,0,0,0,1
7,No one should be taught that love is how much shit you can tolerate from someone,2,Barcelona,7/12/2019,0,0,1,0
8,Mira lo que he comprado,3,Barcelona,7/12/2019,0,0,0,1
9,Y la culpa no era mio ni dónde estaba ni cómo vestía El violador eres tu. @casaldelesdones,5,Barcelona,6/12/2019,0,0,1,0
10,@icdones,3,Barcelona,7/12/2019,0,0,1,0
11,Cambia de cuento,2,Barcelona,7/12/2019,0,0,0,1
12,¿Qué hacer cuando te mandan un video sexual no consentido?,2,Barcelona,7/12/2019,0,0,1,0
13,Los hombres ante la violencia machista: cambio individual o cambio social? @atavarrels,2,Barcelona,7/12/2019,0,0,1,0
14,Prou Violencia Masclista,2,Barcelona,7/12/2019,0,0,1,0
15,La charla sexual en un colegio concertado: La virginidad hay que preserverlas para nuestro marido,3,Barcelona,7/12/2019,0,0,1,0
16,"Un a niña de 12 años es muy chicas para recibir educación sexual, pero si la violan es suficiente madura para ser madre.",4,Barcelona,7/12/2019,0,0,1,0
17,La operacion bikini empieza cuando compro y acaba cuando me lo pongo.,3,Barcelona,7/12/2019,0,0,0,1
18,"Tu lo que tienes que hacer....Vamos a jugar que eres una piedra, verdad?",2,Barcelona,7/12/2019,0,0,1,0
19,No flaqui. Os gusta mi modelito?,2,Barcelona,7/12/2019,0,0,0,1
20,Ciclo de Violencia Masclista,2,Barcelona,7/12/2019,0,0,1,0
21,La belleza es subjetiva @lalipopstar,1,Barcelona,8/12/2019,0,0,0,1
22,@remydemmi,3,Barcelona,7/12/2019,0,0,0,1
23,"Si es machista, homófobo o rascista, no te acuestas con el (no lo merece)",3,Barcelona,8/12/2019,0,0,1,0
24,Primera cita. Y te gusta los memes? Que es esto? Vete de aquí.,2,Barcelona,8/12/2019,0,0,1,0
25,Si cuidas a tu pareja eres un calzonazos. @nomasvictimas0,1,Barcelona,8/12/2019,0,0,1,0
26,"La tristeza es causada por la inteligencia. Cuando más entiendes ciertas cosas, más desearias no entenderlas. @escritosdepoeta",3,Barcelona,8/12/2019,0,0,0,1
27,"Si te da paz, ya te esta dando todo",3,Barcelona,8/12/2019,0,0,1,1
28,#mesigualtat,0,Barcelona,8/12/2019,0,0,0,1
29,Barbie 60 años #mesigualtat,2,Barcelona,8/12/2019,0,0,0,1
30,"No sé si  esto significa algo, pero yo por las dudas me voy a ilusionar",4,Barcelona,8/12/2019,0,0,1,0
31,Todas las dias te borro un poquito mas,2,Barcelona,8/12/2019,0,0,1,0
32,"Me alego de algo que queria en mi vida para siempre porque me hacía daño, y esa fue la demostración más de amor propio más bonita que me dediqué",2,Barcelona,8/12/2019,0,0,1,0
33,"Nota para mi: si su ausencia te trae paz, entonces no perdiste nada.",1,Barcelona,8/12/2019,0,0,1,0
34,Cultura de porno y normalización de la violación.,1,Barcelona,8/12/2019,0,0,1,0
35,Dónde te vea con otra te la corto. Escuchaste?,1,Barcelona,9/12/2019,0,0,1,0
36,Dos chicas de 16 y 17 años han sufrido una palizo a manos de otro por besarse en un parque.,1,Barcelona,9/12/2019,0,0,1,0
37,"Y sin embargo, no se dio por vencida....",1,Barcelona,8/12/2019,0,0,1,0
38,"Vete, entiende que nunca se florece con alguien que riega sola por temporadas",3,Barcelona,9/12/2019,0,0,1,0
39,Nos rompemos para dejar que entra un poco de luz,2,Barcelona,9/12/2019,0,0,1,0
40,Cuatro años de prisión por abusar sexualmente a una amiga en el baño en el bar de Oviedo,1,Barcelona,9/12/2019,0,0,1,0
41,Dentro de ti hay mucho bueno. No permitas que te digan el contrario,5,Barcelona,9/12/2019,0,0,1,0
42,"Si alguién llora enfrente de tí. Cuídala, porque te esta diciendo que confia tanto en tí para mostrarte su lado débil.",1,Barcelona,9/12/2019,0,0,0,1
43,A veces mis no sé's significa más de 1000 sentimientos. @textoverdadero,1,Barcelona,9/12/2019,0,0,1,0
44,No se puedo seguir guardar todo lo que siento. ¿Dónde lo pongo? ,1,Barcelona,9/12/2019,0,0,1,0
45,"Joder tía, vaya tetas. Esto son mis bolsos.",2,Barcelona,9/12/2019,0,0,1,0
46,Mi tu su maltradador1: Es que tu,1,Barcelona,9/12/2019,0,0,1,0
