ID,texto,likesCount,locationname,TimeStamp,Comments,SavedItems,
1,La web app para detectar 🔍 y visibilizar prácticas igualitarias y violencia de género en instagram. 📌 En 2 días podrás ser parte de este proyecto! .,12,Barcelona,03/12/2019,0,0,
2,"Sabías que 1 de cada 10 mujeres ha sufrido violencia de género en redes sociales? A partir de mañana 5 de diciembre recogeremos datos sobre este tipo de violencia. AYÚDANOS a hacer visible lo invisible! 
",19,Barcelona,04/12/2019,0,0,
3,"Preparades, llestes, participa! 🥁 La campanya EQUAL comença demà 5 de desembre. Si trobes 🔍contingut violent o sexista a Instagram, utilitza el hashtag 👉🏻#menysviolencia.",4,Barcelona,04/12/2019,1,0,
4,Estem vivint un moment important per visibilitzar la violència de masclista‼️ Des d'avui al 19 de diciembre recollirem 🔍 dades. PARTICIPA! COM? Explora el teu timeline 📌 Si trobes alguna d'aquestes pràctiques en el teu timeline envia-la per DM a @equalproyecto. . 📌 Perfil privat? esmenta @equalproyecto. Amb la teva ajuda obtindrem dades sobre violència a Instagram,20,Barcelona,05/12/2019,0,0,
5,Més de Macha Te? 🍵 Et sumes? Si a l'navegar al teu timeline trobes masclisme comenta usant el hashtag 👉🏻 #menysviolencia. 📌 Recollirem dades fins al 19 de desembre. ,14,Barcelona,06/12/2019,0,0,
6,En EQUAL buscamos cambiar las cosas que no podemos aceptar. COMO? promoviendo prácticas igualitarias y visibilizando prácticas sexistas y de violencia machista que ocurren en Instagram. ‼️Haremos visible lo invisible! ‼️PARTICIPA! 💪,19,Barcelona,07/12/2019,0,0,
7,"En Equal volem visibilitzar les violències de Gènere que es consideren el germen o l'origen de les violències més visibles, com ara l'humor / imatges / llenguatge i publicitat sexista, humiliació, menyspreu, control, desvalorització, micro masclisme, entre altres que solen romandre invisibilitzats, i que de vegades fins i tot no es contempla com a tal per part de les víctimes.. Et sona?",18,Barcelona,08/12/2019,0,0,
8,Bon día a tothom! Que tingueu una bona setmana!,24,Barcelona,09/12/2019,0,0,
9,"👉🏻La igualtat de gènere no és només un dret humà fonamental, a més és l'Objectiu 5 de les Nacions Unides ""Aconseguir la igualtat entre els gèneres i donar poder a totes les dones i les nenes.” Lamentablement, en l'actualitat, 1 de cada 5 dones i noies entre 15 i 49 anys d'edat van afirmar haver experimentat violència física o sexual, o ambdues, en mans de la seva parella en els 12 mesos anteriors a ser preguntades sobre aquest assumpte.",26,Barcelona,10/12/2019,1,0,
10,"‼️Preparades, llestes, PARTICIPA! La campanya EQUAL ja està en marxa. ‼️ Envia o menciónanos a Instagram quan: 👉🏻 detectis contingut masclista o sexista 👉🏻 trobis contingut igualitari Amb la teva ajuda obtindrem dades sobre violència a Instagram.",27,Barcelona,10/12/2019,0,0,
11,"Publicitat sexista...Ens ajudes a visibilitzar? 🔍 . 👉🏻 Si detectes pràctiques masclistes / sexistes envia-les per DM, amb la teva ajuda farem un banc de dades sobre violència en instagram.",26,Barcelona,11/12/2019,0,0,
12,"Ajuda'ns a detectar 🔍 imatges que representin violència masclista i pràctiques igualitàries en instagram, envia-les per DM o esmenta @equalproyecto",17,Barcelona,11/12/2019,0,0,
13,"‼️QUEDAN 7 días‼️ EQUAL busca hacer visible la violencia machista/ sexismo en Instagram, pero también promueve la igualdad en esta red social. 👉🏻 Nos ayudas a detectar imágenes? 🔍 . 📌 Si encuentras alguna de estas prácticas en tu timeline envíala por DM a @equalproyecto. 📌 Perfil privado? menciona @equalproyecto .Con tu ayuda obtendremos datos sobre violencia en Instagram.PARTICIPA y COMPARTE! 🙏",118,Barcelona,12/12/2019,1,0,
14,"Micromasclisme? Si trobes publicacions masclistes / sexistes en instagram envia'ns-la per DM o menciónanos @equalproyecto, recollirem dades fins al 19 de desembre. Ens ajudes a posar focus? 💡",18,Barcelona,12/12/2019,0,0,
15,"Les dades ens permeten posar focus 🔍 sobre els fenòmens socials i aproximar-nos a la realitat, necessitem conèixer dades sobre violència en xarxes socials, per ser aquest el nou espai públic de relació entre les persones joves. Amb la teva ajuda farem visible l'invisible",14,Barcelona,13/12/2019,0,0,
16,"SÚPER EQUAL ET CONVIDA A PARTICIPAR 🙌. ✅ La campanya EQUAL busca fer visible la violència masclista / sexisme a Instagram, però també promou la igualtat en aquesta xarxa social. Ens ajudes a detectar imatges? . 📌 Si trobes alguna d'aquestes pràctiques en el teu timeline envia-la per DM o esmenta a @equalproyecto. . 📌 Perfil privat? Fes una captura de pantalla i envia-la per DM a @equalproyecto .",174,Barcelona,13/12/2019,0,0,
17,"‼️Estamos viviendo un momento importante para visibilizar la violencia machista‼️ ⌛️ Hasta el 19 de diciembre recogeremos 🔍 datos tanto de violencia machista/sexista como de prácticas igualitarias en Instagram, que servirán para promover la igualdad en redes sociales. Nos ayudas a detectar imágenes? . 📌 Si encuentras alguna de estas prácticas en tu timeline envíala por DM o menciona a @equalproyecto. 📌 Perfil privado? Haz una captura de pantalla y envíala a @equalproyecto .
Con tu apoyo, haremos visible lo invisible! 🙌",23,Barcelona,13/12/2019,0,0,
18,Qualsevol moment és bo per dir prou a la violència... 🛑 .,17,Barcelona,14/12/2019,2,0,
19,"Tipos de violencia en redes sociales. . ‼️ACOSO, AGRESIÓN y DISCRIMINACIÓN ‼️ Super Equal nos lo explica brevemente",14,Barcelona,14/12/2019,0,0,
20,Tipos de Violencia en redes sociales: “AMENAZAS Y EXTORSIÓN” 👆🏻...,12,Barcelona,14/12/2019,0,0,
21,"Sabies que 1 de cada 10 dones ha patit violència en xarxes socials? Sabies que 1 de cada 10 dones ha patit violència en xarxes socials?
👉🏻 Envíanos las publicaciones que detectes con prácticas violentas o igualitarias en Instagram. 📌 Hasta el 19 de diciembre recogeremos datos. .
⚠️ Garantizaremos tú confidencialidad ⚠️ AYÚDANOS a hacer visible lo invisible! .",31,Barcelona,15/12/2019,0,0,
22,📌 Tipos de violencia en redes sociales: Hoy Súper Equal nos habla sobre ‼️DESPRETIGIO Y ATAQUES‼️,17,Barcelona,15/12/2019,0,0,
23,✅ Tipos de violencia en redes sociales: ‼️ MONITOREO Y ACECHO ‼️,11,Barcelona,15/12/2019,0,0,
24,"En Equal no només volem visibilitzar les violències masclistes que ocorren a Instagram, sinó també les pràctiques igualitàries. 🎯 👉🏻 Si trobes alguna d'aquestes pràctiques en el teu timeline envia-la per DM o esmenta @equalproyecto, amb la teva ajuda farem la primera base de dades sobre violència i igualtat en instagram. 🙌",18,Barcelona,16/12/2019,0,0,
25,‼️ABUSO SEXUAL‼️. 👉🏻 Súper Equal nos habla de este tipo de violencia en redes sociales. .,16,Barcelona,16/12/2019,0,0,
26,"Gritemos para decir basta a la violencia machista, pero también para promover la igualdad! 💪📌 Si encuentras publicaciones sobre igualdad y empoderamiento femenino en tu timeline de instagram envíala por DM o menciona a @equalproyecto. .
📌 Perfil privado? Envíanos una captura a @equalproyecto 👉🏻 Recogeremos datos hasta el 19 de diciembre! #stopsexting #mesigualtat #menysviolencia #stopviolenceagainstwomen #stopbullying #igualtat #igualdad #igualdaddegenero #mujeres #feminismo #noesno #quesesepa",24,Barcelona,17/12/2019,0,0,
27,Sabies que el 37% dels joves reconeix haver exercit violència masclista? 🤔 📌 Ajuda'ns a visibilitzar les violències que ocorren a Instagram. PARTICIPA! #menysviolencia #mesigualtat #violencia #violenciamachista #stopviolence #stopviolencia,13,Barcelona,17/12/2019,0,0,
28,Tipos de violencia en redes sociales. Súper Equal nos habla de ‼️ACCESO NO AUTORIZADO‼️ #stopviolenceagainstwomen #stopviolence #stopabuso #menysviolencia #mesigualtat #violencia #violenciamachista #redessociales #socialmedia,11,Barcelona,18/12/2019,0,0,
